flux,species_id_stage_id,M,N,node_type,working_name,organismal_group,consumer_strategy_stage,TL,OI,org_type,con_type
2.137863930793371,265.2,3.619617999999998e-5,10509.119999999997,life stage,Mesostephanus appendiculatus,trematode,parasitic castrator,9.380952380952357,4.159039373325093,para,para
0.08189087978818292,266.2,5.727493000000004e-5,655.19,life stage,Parorchis acanthus,trematode,parasitic castrator,9.7532552083333,3.1684574994370562,para,para
0.3028730001639911,268.2,2.710120999999998e-5,2585.7999999999997,life stage,Phocitremoides ovale,trematode,parasitic castrator,9.380952380952353,4.159039373325094,para,para
4.7220048662389145,269.2,6.969999999999997e-5,12726.960000000001,life stage,Probolocoryphe species A,trematode,parasitic castrator,8.547619047619023,7.749886621315209,para,para
0.4036346491590576,271.2,2.9399999999999976e-5,3195.32,life stage,Pygidiopsoides spindalis,trematode,parasitic castrator,9.38095238095235,4.159039373325094,para,para
0.39232804197227866,272.2,2.915188999999999e-5,2290.42,life stage,Renicola buchanani,trematode,parasitic castrator,8.73809523809521,6.648715041572193,para,para
0.09233204397570649,273.2,2.7849259999999985e-5,559.9600000000003,life stage,Renicola cerithidicola,trematode,parasitic castrator,8.738095238095205,6.6487150415721965,para,para
2.7999146258315117,275.2,3.3264180000000004e-5,17565.53,life stage,small cyathocotylid,trematode,parasitic castrator,8.880952380952348,5.82134758665372,para,para
0.3000423846184687,276.2,4.5945000000000015e-5,3434.4799999999987,life stage,Maritrema sp.,trematode,parasitic castrator,2.9999999999999827,3.077050568427709e-28,para,para
2.308216156311121,277.2,3.203716999999999e-5,18583.670000000002,life stage,Stictodora hancocki,trematode,parasitic castrator,9.380952380952355,4.159039373325094,para,para
2.6189928605449103e-4,233.3,2.2100000000000017e-9,172398.1900452487,life stage,Acanthoparyphium spinulosum,trematode,nonfeeding,0.9999999999999909,0,para,para
1.3806455093323073e-6,234.3,1.1999999999999997e-10,17500.000000000015,life stage,microphallid-assiminea,trematode,nonfeeding,0.999999999999992,0,para,para
6.721876755649915e-8,235.3,3.3300000000000035e-10,299.6996996996996,life stage,Austrobilharzia sp.,trematode,nonfeeding,0.9999999999999971,0,para,para
7.429187740692889e-4,237.3,2.6600000000000007e-9,424812.03007518785,life stage,Catatropis johnstoni,trematode,nonfeeding,0.9999999999999944,0,para,para
7.813003042639171e-5,238.3,1.3099999999999998e-9,88549.61832061065,life stage,Cloacitrema michiganiensis,trematode,nonfeeding,0.9999999999999941,0,para,para
0.001702467403055242,239.3,4.259999999999998e-10,6078638.497652586,life stage,Euhaplorchis californiensis,trematode,nonfeeding,0.9999999999999941,0,para,para
5.9170521828527394e-6,240.3,0.0043241519300000015,831.1044704666513,life stage,fat cyathocotylid,trematode,nonfeeding,1.000000000000008,0,para,para
0.05690247749897331,244.3,5.969301799999999e-4,14785.37540186023,life stage,hemiurid,trematode,nonfeeding,0.999999999999996,0,para,para
0.010929655244793715,245.3,6.1800000000000105e-9,2572815.533980576,life stage,Himasthla rhigedana,trematode,nonfeeding,1.000000000000005,0,para,para
0.0031373609750165394,246.3,4.1899999999999965e-9,1089284.009546539,life stage,Himasthla B,trematode,nonfeeding,1.0000000000000013,0,para,para
2.1874641734281235e-4,247.3,1.0900000000000012e-8,143119.26605504556,life stage,Hysterolecitha trilocalis,trematode,nonfeeding,0.9999999999999954,0,para,para
4.038395397098079e-6,248.3,1.47e-9,29183.673469387762,life stage,Lecisthaster sp.,trematode,nonfeeding,0.999999999999999,0,para,para
2.4376894270259703e-5,250.3,4.950000000000005e-10,86666.66666666661,life stage,Renicola sp.,trematode,nonfeeding,0.999999999999998,0,para,para
6.561353420541156e-8,254.3,2.360000000000004e-9,274788.1355932198,life stage,mc sphere,trematode,nonfeeding,0.9999999999999984,0,para,para
1.031099551395634e-6,256.3,5.170000000000006e-9,60636576.402321,life stage,mc unk Bittium,trematode,nonfeeding,0.999999999999999,0,para,para
4.468098056047748e-6,257.3,3.3700000000000044e-8,889427.2997032626,life stage,mc unk lg-cirriformia,trematode,nonfeeding,0.999999999999995,0,para,para
0.7037133724810706,259.3,8.4586523e-4,2761669.255514854,life stage,mc unk pericaridean,trematode,nonfeeding,1.0000000000000067,0,para,para
5031.307521430088,260.3,6.1800000000000105e-9,4358414.239482192,life stage,mc unk poly,trematode,nonfeeding,0.9999999999999991,0,para,para
4.055923154897978e-4,262.3,1.47e-9,29183.673469387762,life stage,mc vs,trematode,nonfeeding,1.0000000000000004,0,para,para
3.136037656911956e-8,263.3,4.2451003000000006e-4,187.50134125217247,life stage,mega het,trematode,nonfeeding,0.9999999999999983,0,para,para
0.0014237742452428766,265.3,6.280000000000005e-10,3448407.6433120966,life stage,Mesostephanus appendiculatus,trematode,nonfeeding,0.9999999999999954,0,para,para
1.6245658050729057e-4,266.3,2.360000000000004e-9,102203.38983050839,life stage,Parorchis acanthus,trematode,nonfeeding,0.9999999999999988,0,para,para
3.523933300010079e-5,268.3,2.969999999999998e-10,180471.38047138063,life stage,Phocitremoides ovale,trematode,nonfeeding,0.9999999999999996,0,para,para
1.8382308781395845e-4,269.3,1.4799999999999982e-10,1889189.1891891905,life stage,Probolocoryphe species A,trematode,nonfeeding,1.0000000000000004,0,para,para
1.2037913940892648e-4,271.3,5.3100000000000087e-11,3448210.922787192,life stage,Pygidiopsoides spindalis,trematode,nonfeeding,1,0,para,para
9.314985524112049e-5,272.3,1.3599999999999996e-9,101691.17647058824,life stage,Renicola buchanani,trematode,nonfeeding,1.0000000000000033,0,para,para
2.425991394969625e-6,273.3,9.240000000000014e-11,39935.064935064875,life stage,Renicola cerithidicola,trematode,nonfeeding,0.999999999999998,0,para,para
2.790122299973396e-5,274.3,9.240000000000014e-11,49195887.44588737,life stage,renic,trematode,nonfeeding,1.0000000000000033,0,para,para
0.0029885715675104126,275.3,2.5900000000000014e-10,17550965.25096524,life stage,small cyathocotylid,trematode,nonfeeding,0.9999999999999941,0,para,para
1.8934566985128785e-5,276.3,1.0700000000000016e-10,269158.8785046726,life stage,Maritrema sp.,trematode,nonfeeding,1.000000000000001,0,para,para
0.006318885771092707,277.3,6.280000000000005e-10,15304458.598726125,life stage,Stictodora hancocki,trematode,nonfeeding,1.0000000000000013,0,para,para
9.89922830191263e-4,279.3,3.3700000000000044e-8,484115.7270029665,life stage,unk a/sm meso,trematode,nonfeeding,1.0000000000000029,0,para,para
0.0033919845570734653,237.4,1.2000000000000012e-9,1486583.3333333316,life stage,Catatropis johnstoni,trematode,nonfeeding,2.999999999999982,2.7733391199176196e-28,para,para
