logM,logN,logB
-17.737583899245923,11.973321463384435,-5.766722274430075
-20.192637585884242,12.282837834155117,-7.9098762674614855
-19.682989125291265,14.434310673174613,-5.2487846210175455
-16.95927891034567,14.066722356534488,-2.89255674323901
-22.763486665472964,16.71438128045961,-6.052234179437933
-19.40418022551997,14.750170714119053,-4.652953856841898
-19.93480847658214,4.122445992332976,-15.810610951210359
-16.766269465875535,12.356133889286085,-4.410138084834957
-20.90718867510734,15.56127562673091,-5.345408974081887
-16.756754646234196,13.574034691914418,-3.182719899536749
-19.50835309258214,16.539669880951134,-2.968490717160813
-19.595094746036757,11.68336124831642,-7.912877224562908
-20.192637585884242,NA,-17.69313213667509
-10.24316492010629,NA,-13.168407315905736
NA,NA,-10.66705719739262
NA,NA,-12.464843374487534
NA,NA,-12.083855012805925
NA,NA,-14.196770977375621
NA,NA,-10.86582222291169
NA,NA,-8.364472104398574
NA,NA,-10.16225828149349
NA,NA,-9.781269919811878
NA,NA,-11.894185884381576
-15.320588455074132,4.454928522657548,-10.86582222291169
-18.97232836223861,9.971944013514017,-6.921043173309073
-16.27826440311114,7.91363805505797,-8.364472104398574
-17.127324378491743,6.694141177884057,-10.434515883619639
-14.668826490677041,4.887638691386985,-9.781269919811878
-16.27826440311114,4.383275854074314,-11.894185884381576
-5.221356325411908,NA,NA
-13.656449098633939,10.3979270541002,-3.258518827172996
-15.238468903455756,5.621161445967864,-9.615305605042696
-16.074078765541547,7.220490874498025,-8.853365473028452
-16.06930548678889,7.220490874498025,-8.853365473028452
-26.16776571367253,NA,-3.258518827172996
NA,NA,-11.205440765222267
NA,NA,-9.322389875784806
-12.404523584254012,1.851599469584072,-10.553575243635626
-12.404523584254012,3.731938943574383,-8.672678094256632
-15.75345253737041,7.205605480349544,-8.548167995715668
-16.685491626212706,NA,NA
-8.310179022031912,4.903050083416319,-3.40822199659912
NA,NA,-3.407871604821284
-10.451668962845888,3.563882963939251,-7.271598712399482
